cmd,addr,end,rendercmd,jp,en
,,,"//================================================="
,,,"// File save/load"
,,,"//================================================="

String,0x2B70,0x2B75,default,"データ1",
String,0x2B75,0x2B7A,default,"データ2",
String,0x2B7A,0x2B7F,default,"データ3",
String,0x2B7F,0x2B84,default,"データ4",
String,0x2B84,0x2B8C,default,"NO DATA",
String,0x2B8C,0x2B90,default,"ターン",
,,,"//================================================="
,,,"// ? "LP/SP""
,,,"//================================================="

String,0x2B22,0x2B25,default,"LP",
String,0x2B25,0x2B28,default,"SP",
,,,"//================================================="
,,,"// ?"
,,,"//================================================="

String,0x2AC4,0x2AD2,default,"ぶたい    HP/MPR",
,,,"//================================================="
,,,"// ?"
,,,"//================================================="

String,0x37D0,0x37DA,default,"レイモンドはいう。",
String,0x37DA,0x37E3,default,"ディーンはいう。",
String,0x37E3,0x37E9,default,"ぜんぶたい",
String,0x37E9,0x37F3,default,"だれもおらんぞ!。",
,,,"//================================================="
,,,"// ?"
,,,"//================================================="

String,0x4594,0x4598,default,"HP:",
String,0x4598,0x459C,default,"MP:",
String,0x459C,0x45A0,default,"LV:",
,,,"//================================================="
,,,"// invasion"
,,,"//================================================="

String,0x1325D,0x13260,default,"S:",
String,0x13260,0x13263,default,"M:",
,,,"//================================================="
,,,"// Tactical battle test menu"
,,,"//================================================="

String,0x769B,0x76B7,default,"TACTICAL SCREEN MODE SELECT",
String,0x76B7,0x76C1,default,"MODE    :",
String,0x76C1,0x76CB,default,"BATTLE  :",
String,0x76CB,0x76D5,default,"SUMMONER:",
String,0x76D5,0x76E4,default,"ATTACKER AREA:",
String,0x76E4,0x76EA,default,"SIDE:",
String,0x76EA,0x76F9,default,"DEFENDER AREA:",
String,0x76F9,0x76FF,default,"SIDE:",
String,0x76FF,0x7706,default,"SIMPLE",
String,0x7706,0x770A,default,"HEX",
String,0x770A,0x770D,default,"NO",
String,0x770D,0x7716,default,"REALTIME",
String,0x7716,0x771B,default,"AUTO",
String,0x771B,0x7723,default,"CONTROL",
String,0x7723,0x7727,default,"COM",
String,0x7727,0x772B,default,"PLY",
,,,"//================================================="
,,,"// Battle test menu"
,,,"//================================================="

String,0x7ACE,0x7AE8,default,"BATTLE SCREEN MODE SELECT",
String,0x7AE8,0x7AF1,default,"ATTACKER",
String,0x7AF1,0x7AFA,default,"DEFENDER",
String,0x7AFA,0x7AFD,default,"T:",
String,0x7AFD,0x7B00,default,"T:",
String,0x7B00,0x7B04,default,"HP:",
String,0x7B04,0x7B08,default,"HP:",
String,0x7B08,0x7B0C,default,"MP:",
String,0x7B0C,0x7B10,default,"MP:",
String,0x7B10,0x7B13,default,"C:",
String,0x7B13,0x7B16,default,"C:",
String,0x7B16,0x7B19,default,"F:",
String,0x7B19,0x7B21,default,"へいげん   ",
String,0x7B21,0x7B29,default,"あれち    ",
String,0x7B29,0x7B31,default,"はやし    ",
String,0x7B31,0x7B39,default,"しんりん   ",
String,0x7B39,0x7B41,default,"みつりん   ",
String,0x7B41,0x7B49,default,"さばく    ",
String,0x7B49,0x7B51,default,"しつげん   ",
String,0x7B51,0x7B59,default,"ぬまち    ",
String,0x7B59,0x7B61,default,"ジャングル  ",
String,0x7B61,0x7B69,default,"かざんこう  ",
String,0x7B69,0x7B71,default,"しがいち   ",
String,0x7B71,0x7B79,default,"オアシス   ",
String,0x7B79,0x7B81,default,"うみ     ",
String,0x7B81,0x7B89,default,"こおったうみ ",
String,0x7B89,0x7B90,default,"PLAYER",
String,0x7B90,0x7B95,default,"COM*",
,,,"//================================================="
,,,"// Attacker won battle"
,,,"//================================================="

String,0x7B96,0x7BA3,default,"ATTACKERのかち!",
,,,"//================================================="
,,,"// Defender won battle"
,,,"//================================================="

String,0x7BA4,0x7BB1,default,"DEFENDERのかち!",
,,,"//================================================="
,,,"// Tie battle"
,,,"//================================================="

String,0x7BB2,0x7BBE,default,"おっと、ひきわけだぜ!",
,,,"//================================================="
,,,"// Credits"
,,,"//================================================="

String,0xC0CB,0xC0D7,default,"GAME DESIGN",
String,0xC0D7,0xC0D8,default,"",
String,0xC0D8,0xC0E0,default,"PROGRAM",
String,0xC0E0,0xC0E1,default,"",
String,0xC0E1,0xC0F0,default,"GRAPHIC DESIGN",
String,0xC0F1,0xC0F7,default,"SOUND",
String,0xC0F7,0xC0F8,default,"",
String,0xC0F8,0xC107,default,"PROJECT MANAGE",
String,0xC107,0xC108,default,"",
String,0xC108,0xC115,default,"HELP PROGRAM",
String,0xC115,0xC116,default,"",
String,0xC116,0xC11D,default,"GUNSHI",
String,0xC11E,0xC12A,default,"DATA ADJUST",
String,0xC12B,0xC132,default,"MANUAL",
String,0xC133,0xC13B,default,"PACKAGE",
String,0xC13B,0xC13C,default,"",
String,0xC13C,0xC14B,default,"SPECIAL THANKS",
,,,"//================================================="
,,,"// ?"
,,,"//================================================="

String,0xD8AA,0xD8AE,default,"ターン",
String,0xD8AE,0xD8B1,default,"/M",
,,,"//================================================="
,,,"// raymond messages"
,,,"//================================================="

String,0xEFCF,0xEFF1,default,"よろしいでしょうか? (いいならAかCボタン、だめならBボタン)。",
String,0xEFF1,0xF00B,default,"ふたたび、ぐんしとして、はたらきたいとおもいます。",
String,0xF00B,0xF025,default,"バルマーをたおしに、ひとりでたびにでたいのですが、",
String,0xF025,0xF039,default,"みごとバルマーをたおしてまいりました。",
String,0xF039,0xF056,default,"ざんねんなことに、バルマーはすでに、たおされていました。",
String,0xF056,0xF074,default,"わたしも、えいゆうとして、ぜんせんでたたかいたいのですが、",
String,0xF074,0xF0F5,default,"わたしはもうだめだ、ジークよ。よいか、バハムートをめざめさせてはならん。おおいなるじゃきは、やつのハラをみたしてしまう。さいあくのときは、やつのしんぞうを、このけんベサルスネーガでつらぬけ。さいごに、わしのいのちをおまえにたくす。ジーク=フォーリア・・・・",
,,,"//================================================="
,,,"// ?"
,,,"//================================================="

String,0x103EA,0x103EE,default,"ターン",
String,0x103EE,0x103F3,default,"MAX=",
String,0x103F3,0x103F6,default,"[LP])",
,,,"//================================================="
,,,"// Title screen"
,,,"//================================================="

String,0xB2F1,0xB2FA,default,"NEW GAME",
String,0xB2FA,0xB303,default,"CONTINUE",
String,0xB303,0xB30B,default,"OPTIONS",
String,0xB30C,0xB317,default,"CONTROLLER",
String,0xB317,0xB31F,default,"TACTICS",
String,0xB31F,0xB326,default,"BATTLE",
String,0xB326,0xB32C,default,"MUSIC",
String,0xB32C,0xB332,default,"SOUND",
String,0xB333,0xB343,default,"1 CONTROL PAD  ",
String,0xB343,0xB352,default,"2 CONTROL PADS",
String,0xB353,0xB35A,default,"BGM00:",
String,0xB35B,0xB364,default,"SOUND 00",
,,,"//================================================="
,,,"// Sound test track names"
,,,"//================================================="

String,0xB396,0xB3AC,default,"RESURRECTION OF CHAOS",
String,0xB3AC,0xB3B4,default,"BAHAMUT",
String,0xB3B4,0xB3BC,default,"MUSAFIR",
String,0xB3BC,0xB3C6,default,"SPECTATER",
String,0xB3C6,0xB3D3,default,"HOLY DESTINY",
String,0xB3D3,0xB3E5,default,"KING OF BERSERKER",
String,0xB3E5,0xB3EF,default,"SORCERESS",
String,0xB3EF,0xB3F8,default,"ELF LAND",
String,0xB3F8,0xB406,default,"DUM DUM DUM !",
String,0xB406,0xB418,default,"AN ANCIENT DRAGON",
String,0xB418,0xB428,default,"DEATH MESSENGER",
String,0xB428,0xB433,default,"FROM HADES",
String,0xB433,0xB43D,default,"INTRUDERS",
String,0xB43D,0xB446,default,"DIE HARD",
String,0xB446,0xB452,default,"BAD FIGHTER",
String,0xB452,0xB45B,default,"MUSTAPHA",
String,0xB45B,0xB467,default,"ELVES MARCH",
String,0xB467,0xB475,default,"BRUTAL GIANTS",
String,0xB475,0xB487,default,"MURDER IN THE SKY",
String,0xB487,0xB495,default,"CRACK OF DOOM",
String,0xB495,0xB49E,default,"DARKNESS",
String,0xB49E,0xB4A9,default,"BEAT'EM UP",
String,0xB4A9,0xB4B3,default,"GOOD DAYS",
String,0xB4B3,0xB4C7,default,"AN OMINOUS DAY(666)",
String,0xB4C7,0xB4CE,default,"REGRET",
,,,"//================================================="
,,,"// Header for hero info screen"
