"cmd","addr","end","rendercmd","jp","en","en",,
,,,,"//=================================================",,,,
,,,,"// Startup error messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0xB52","0xB9F",,,,,,
"String","0xB9F","0xBA8","vwf standard pad 160 center","☆☆☆　警告　☆☆☆","--- Warning ---","*** Warning ***",,
"String","0xBA8","0xBAD","vwf standard pad 272 center","１P側にコントロールPADがない！","There is no Control Pad in the Player 1 port!","No control pad on 1P side!",,
"String","0xBAD","0xBB4","vwf standard pad 272 center","１P側にコントロールPADをさして、","Please insert a Control Pad into the Player 1 port","Insert control pad on 1P side,",,
"String","0xBB4","0xBC2","vwf standard pad 304 center","リセットボタンを押して下さい。","and press the Reset Button.","and please press the reset button.",,
"String","0xBC2","0xBCE","vwf standard pad 272 center","始めますが、ゲームは実行できません。","The game will begin, but cannot be played.","The game cannot be started.",,
,,,,"//=================================================",,,,
,,,,"// ""Fixed"" pack -- this is always loaded, and used",,,,
,,,,"// for generic stuff that can display anywhere",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1B5C","0x1B70",,,,,,
"String","0x3E0","0x3E1","vwf narrow","第","WAWBWCWDWEWFWGWHWIWJ","#","disused. this is filled with unique garbage tiles in order to waste space at the start of pack with unused material that can be overwritten by extra content on the font stack. ultrahack.",
"String","0x3E1","0x3E3","vwf narrow","ターン","Turn","Turn",,
"String","0x3E3","0x3E5","vwf standard","ご命令を？","Your orders?","Your orders?",,
"String","0x3E5","0x3E8","vwf standard","誰ですか？","Who[space1px]?","Who?",,
"String","0x3E8","0x3ED","vwf standard","どれですか？","Which one?","Which one?",,
"String","0x3ED","0x3F2","vwf standard","どこですか？","Where?","Where?",,
"String","0x3F2","0x3F9","vwf standard","どれくらいですか？","How much?","How much?",,
"String","0x3F9","0x3FF","vwf standard","どうしますか？","Do[space3px]what?","What will you do?",,
"String","0x3FF","0x404","vwf standard","終了します","Ending.","Ending",,
"String","0x404","0x40B","vwf standard","終了しますか？","End?","End?",,
"String","0x40B","0x40D","vwf standard","が死んだ！"," died!","died!",,
"String","0x40D","0x413","vwf standard","が侵攻した！"," invaded!","invaded!",,
"String","0x6062","0x0","vwf narrow","第"," ",,"NOTE: 6066 -> 6062",
"String","0x6061","0x0","vwf narrow","ターン","[space2px]Turn",,"NOTE: 6067 -> 6061
for round start",
"String","0x103F6","0x0","vwf standard","ターン","[space16px][space8px][space1px]turns",,"for choosing number of turns for e.g. an alliance proposal",
,,,,,,,,
,,,,"//=================================================",,,,
,,,,"// Credits -- regular version",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x6648","0x66B2",,,,,,
"String","0xC049","0xC04C","vwf standard pad 128 center","☆制作スタッフ☆","-- Production Staff --","* Production staff *",,
"String","0xC04C","0xC04F","vwf standard","　むうみん[FACE]","[space16px]Moomin [moomin_left][moomin_right]","Moomin [FACE]","[space16px]Moomin [FACE]",
"String","0xC04F","0xC052","vwf standard","　まお","[space16px]Mao","Mao","[space16px]Mao",
"String","0xC052","0xC055","vwf standard","　MUCHO","[space16px]MUCHO","MUCHO","[space16px]MUCHO",
"String","0xC055","0xC05B","vwf standard","　　＆Cｏｍｐ.","[space16px][space16px]&Comp.","&Comp.","[space16px]&Comp.",
"String","0xC05B","0xC060","vwf standard","　むっちゃん","[space16px]Mucchan","Mucchan","[space16px]Mucchan",
"String","0xC060","0xC064","vwf standard","　MRN","[space16px]MRN","MRN","[space16px]MRN",
"String","0xC064","0xC069","vwf standard","　やまざー","[space16px]Yamazaa","Yamazaa","[space16px]Yamazaa",
"String","0xC069","0xC06C","vwf standard","　釈尊","[space16px]Shakuson","Shakuson","[space16px]Shakuson",
"String","0xC06C","0xC06F","vwf standard","　羽田一夫","[space16px]Kazuo Haneda","Kazuo Haneda","[space16px]Kazuo Haneda",
"String","0xC06F","0xC072","vwf standard","　松戸入太","[space16px]Mad Hatter","Mad Hatter","[space16px]Mad Hatter",
