"cmd","addr","end","rendercmd","jp","en",,,
,,,,"//=================================================",,,,
,,,,"// File save/load",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x2B70","0x2B75","default","データ1","DAT1","Data1",,"Data1"
"String","0x2B75","0x2B7A","default","データ2","DAT2","Data2",,"Data2"
"String","0x2B7A","0x2B7F","default","データ3","DAT3","Data3",,"Data3"
"String","0x2B7F","0x2B84","default","データ4","DAT4","Data4",,"Data4"
"String","0x2B84","0x2B8C","default","NO DATA"," NO DATA","NO DATA",,"NO DATA"
"String","0x2B8C","0x2B90","default","ターン"," TRN","Turn",,"Turn"
,,,,"//=================================================",,,,
,,,,"// ? ""LP/SP""
,,,""//=================================================",,,,
,,,,,,,,
"String","0x2B22","0x2B25","default","LP","LP","LP",,"LP"
"String","0x2B25","0x2B28","default","SP","SP","SP",,"SP"
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x2AC4","0x2AD2","default","ぶたい    HP/MPR","STAGE HP/MPR","Stage HP/MPR",,"Stage HP/MPR"
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x4594","0x4598","default","HP:","HP:","HP:",,"HP:"
"String","0x4598","0x459C","default","MP:","MP:","MP:",,"MP:"
"String","0x459C","0x45A0","default","LV:","LV:","LV:",,"LV:"
,,,,"//=================================================",,,,
,,,,"// Tactical battle test menu",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x769B","0x76B7","default","TACTICAL SCREEN MODE SELECT","TACTICAL SCREEN MODE SELECT","TACTICAL SCREEN MODE SELECT",,"TACTICAL SCREEN MODE SELECT"
"String","0x76B7","0x76C1","default","MODE    :","MODE    :","MODE    :",,"MODE    :"
"String","0x76C1","0x76CB","default","BATTLE  :","BATTLE  :","BATTLE  :",,"BATTLE  :"
"String","0x76CB","0x76D5","default","SUMMONER:","SUMMONER:","SUMMONER:",,"SUMMONER:"
"String","0x76D5","0x76E4","default","ATTACKER AREA:","ATTACKER AREA:","ATTACKER AREA:",,"ATTACKER AREA:"
"String","0x76E4","0x76EA","default","SIDE:","SIDE:","SIDE:",,"SIDE:"
"String","0x76EA","0x76F9","default","DEFENDER AREA:","DEFENDER AREA:","DEFENDER AREA:",,"DEFENDER AREA:"
"String","0x76F9","0x76FF","default","SIDE:","SIDE:","SIDE:",,"SIDE:"
"String","0x76FF","0x7706","default","SIMPLE","SIMPLE","SIMPLE",,"SIMPLE"
"String","0x7706","0x770A","default","HEX","HEX","HEX",,"HEX"
"String","0x770A","0x770D","default","NO","NO","NO",,"NO"
"String","0x770D","0x7716","default","REALTIME","REALTIME","REALTIME",,"REALTIME"
"String","0x7716","0x771B","default","AUTO","AUTO","AUTO",,"AUTO"
"String","0x771B","0x7723","default","CONTROL","CONTROL","CONTROL",,"CONTROL"
"String","0x7723","0x7727","default","COM","COM","COM",,"COM"
"String","0x7727","0x772B","default","PLY","PLY","PLY",,"PLY"
,,,,"//=================================================",,,,
,,,,"// Battle test menu",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x7ACE","0x7AE8","default","BATTLE SCREEN MODE SELECT","BATTLE SCREEN MODE SELECT","BATTLE SCREEN MODE SELECT",,"BATTLE SCREEN MODE SELECT"
"String","0x7AE8","0x7AF1","default","ATTACKER","ATTACKER","ATTACKER",,"ATTACKER"
"String","0x7AF1","0x7AFA","default","DEFENDER","DEFENDER","DEFENDER",,"DEFENDER"
"String","0x7AFA","0x7AFD","default","T:","T:","T:",,"T:"
"String","0x7AFD","0x7B00","default","T:","T:","T:",,"T:"
"String","0x7B00","0x7B04","default","HP:","HP:","HP:",,"HP:"
"String","0x7B04","0x7B08","default","HP:","HP:","HP:",,"HP:"
"String","0x7B08","0x7B0C","default","MP:","MP:","MP:",,"MP:"
"String","0x7B0C","0x7B10","default","MP:","MP:","MP:",,"MP:"
"String","0x7B10","0x7B13","default","C:","C:","C:",,"C:"
"String","0x7B13","0x7B16","default","C:","C:","C:",,"C:"
"String","0x7B16","0x7B19","default","F:","F:","F:",,"F:"
"String","0x7B19","0x7B21","default","へいげん   ","PLAINS[zero][zero][zero][zero][zero][zero]","Plains",,"Plains"
"String","0x7B21","0x7B29","default","あれち    ","WASTES[zero][zero][zero][zero][zero][zero]","Wasteland",,"Wasteland"
"String","0x7B29","0x7B31","default","はやし    ","WOODS[zero][zero][zero][zero][zero][zero][zero]","Woods",,"Woods"
"String","0x7B31","0x7B39","default","しんりん   ","FOREST[zero][zero][zero][zero][zero][zero]","Forest",,"Forest"
"String","0x7B39","0x7B41","default","みつりん   ","THICKET[zero][zero][zero][zero][zero]","Thicket",,"Thicket"
"String","0x7B41","0x7B49","default","さばく    ","DESERT[zero][zero][zero][zero][zero][zero]","Desert",,"Desert"
"String","0x7B49","0x7B51","default","しつげん   ","MARSH[zero][zero][zero][zero][zero][zero][zero]","Marsh",,"Marsh"
"String","0x7B51","0x7B59","default","ぬまち    ","SWAMP[zero][zero][zero][zero][zero][zero][zero]","Swamp",,"Swamp"
"String","0x7B59","0x7B61","default","ジャングル  ","JUNGLE[zero][zero][zero][zero][zero][zero]","Jungle",,"Jungle"
"String","0x7B61","0x7B69","default","かざんこう  ","VOLCANO[zero][zero][zero][zero][zero]","Volcano",,"Volcano"
"String","0x7B69","0x7B71","default","しがいち   ","TOWN[zero][zero][zero][zero][zero][zero][zero][zero]","Town",,"Town"
"String","0x7B71","0x7B79","default","オアシス   ","OASIS[zero][zero][zero][zero][zero][zero][zero]","Oasis",,"Oasis"
"String","0x7B79","0x7B81","default","うみ     ","SEAS[zero][zero][zero][zero][zero][zero][zero][zero]","Seas",,"Seas"
"String","0x7B81","0x7B89","default","こおったうみ ","FROZEN SEAS[zero]","Frozen Seas",,"Frozen Seas"
"String","0x7B89","0x7B90","default","PLAYER","PLAYER","PLAYER",,"PLAYER"
"String","0x7B90","0x7B95","default","COM*","COM*","COM*",,"COM*"
,,,,"//=================================================",,,,
,,,,"// invasion",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x1325D","0x13260","default","S:","S:",,,
"String","0x13260","0x13263","default","M:","M:",,,
,,,,"//=================================================",,,,
,,,,"// Attacker won battle",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x7B96","0x7BA3","default","ATTACKERのかち!","[up]  ATTACKER[br]    WINS!","ATTACKERWINS!",,"ATTACKER wins!"
,,,,"//=================================================",,,,
,,,,"// Defender won battle",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x7BA4","0x7BB1","default","DEFENDERのかち!","[up]  DEFENDER[br]    WINS!","DEFENDERWINS!",,"DEFENDER wins!"
,,,,"//=================================================",,,,
,,,,"// Tie battle",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x7BB2","0x7BBE","default","おっと、ひきわけだぜ!","[up] WHOA, IT'S[br]   A DRAW!","Whoa, it's a draw!",,"Whoa, it's a draw!"
,,,,"//=================================================",,,,
,,,,"// Credits",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0xC0CB","0xC0D7","default","GAME DESIGN","GAME DESIGN","GAME DESIGN",,"GAME DESIGN"
"String","0xC0D7","0xC0D8","default",,,,,
"String","0xC0D8","0xC0E0","default","PROGRAM","PROGRAM","PROGRAM",,"PROGRAM"
"String","0xC0E0","0xC0E1","default",,,,,
"String","0xC0E1","0xC0F0","default","GRAPHIC DESIGN","GRAPHIC DESIGN","GRAPHIC DESIGN",,"GRAPHIC DESIGN"
"String","0xC0F1","0xC0F7","default","SOUND","SOUND","SOUND",,"SOUND"
"String","0xC0F7","0xC0F8","default",,,,,
"String","0xC0F8","0xC107","default","PROJECT MANAGE","PROJECT MANAGE","PROJECT MANAGE",,"PROJECT MANAGE"
"String","0xC107","0xC108","default",,,,,
"String","0xC108","0xC115","default","HELP PROGRAM","HELP PROGRAM","HELP PROGRAM",,"HELP PROGRAM"
"String","0xC115","0xC116","default",,,,,
"String","0xC116","0xC11D","default","GUNSHI","GUNSHI","GUNSHI",,"GUNSHI"
